state,decade,average_dropoff
Georgia,1970,2.605307605441655
Georgia,1980,1.4150090490686533
Georgia,1990,0.18377825507232445
Georgia,2000,-3.4273031122409994
Georgia,2010,0.5554915940436577
Georgia,2020,-0.5546446885355113
Georgia,1950,5.035022912699795
Georgia,1960,5.419989861090151
Georgia,1940,-2.942039515494107
Iowa,2010,-0.6440741631383424
Iowa,2020,1.8529083507727946
Iowa,1990,-2.279362640049078
Iowa,2000,-0.1380718350686201
Iowa,1980,-0.044957856547274605
Pennsylvania,1990,0.13739653208492678
Pennsylvania,1980,-0.23360919532879815
Pennsylvania,1970,-0.7593938290489417
Pennsylvania,2000,-1.8507056535457618
Pennsylvania,2010,-3.321455230882711
Pennsylvania,2020,-0.25118503130169034
Pennsylvania,1960,-0.6575566815494119
Pennsylvania,1950,0.09975262517761019
Pennsylvania,1930,-1.9479970242455948
Pennsylvania,1940,0.4038278437322631
Pennsylvania,1910,0
Pennsylvania,1920,0
Nebraska,1980,0.3798703873198713
Nebraska,1990,-3.173946695990502
Nebraska,2000,1.344924591092311
Nebraska,1970,8.562116883116872
Nebraska,2010,-0.4692045404572457
Nebraska,2020,2.2260063858986805
Utah,1970,2.9862836433446183
Utah,1980,0.2322620132414296
Utah,1990,0.4082310108870211
Utah,2000,5.304939024848903
Utah,2010,2.1383800072489145
Utah,2020,1.1323876667112822
Utah,1950,11.842777777777783
Utah,1960,12.359382944915254
Arizona,2020,0.4314492750595395
Arizona,2000,-0.47364901269550097
Arizona,2010,-0.805420283317928
Arizona,1980,7.472616706938812
Arizona,1990,4.6337356934819525
Arizona,1970,0
Wyoming,1980,0.39315599447234667
Wyoming,1970,4.241637802999503
Wyoming,1990,0.7363019323008542
Wyoming,2000,3.308785272218663
Wyoming,2010,-2.317554747585256
Wyoming,1960,0.6302869585755054
Wyoming,2020,4.493120790118366
South Dakota,2020,2.245407247067072
South Dakota,1980,4.8886955741266656
South Dakota,1990,-14.198764843948286
South Dakota,2000,6.782710576156212
South Dakota,2010,-3.277361030931647
South Dakota,1970,0.8871272308297229
West Virginia,2000,-0.5983787216053411
West Virginia,2010,-0.7118638934897737
West Virginia,2020,-0.2504828023984037
West Virginia,1970,-0.10680509895372178
West Virginia,1980,0.500296605493779
West Virginia,1990,0.07809927238733858
West Virginia,1960,0
Connecticut,2010,-2.2486046365932926
Connecticut,2020,-1.4374032762075502
Connecticut,2000,-3.7688349248731186
Louisiana,2000,-1.338747677297818
Louisiana,2010,-2.244730835887054
Louisiana,2020,1.27338472860169
Louisiana,1990,3.515293882541023
Mississippi,1980,-0.5951967013802791
Mississippi,1990,-2.375887424728334
Mississippi,1960,-1.4277147626975912
Mississippi,2010,-5.775652461122495
Mississippi,2020,3.0175381913904036
Mississippi,1970,2.5924391571457117
Mississippi,1950,-0.9591070577974093
Mississippi,2000,-0.8477148842263293
California,2010,5.203001899280738
California,2020,0.4848314371419052
California,1990,1.5794915167754437
California,2000,-287.3299176824256
California,1980,0.747447984617337
Florida,1970,1.8065971933519593
Florida,1940,-0.5562424335285281
Florida,1950,1.483470566086788
Florida,1960,-29.680220166507358
Florida,1980,-0.6246209987453457
Florida,1930,0.625
Oregon,2000,-0.2908737795723242
Oregon,2010,-0.15692710302733628
Oregon,2020,1.9285586115535684
Oregon,1990,0.1779792627896115
New Jersey,1970,1.2986350119762413
New Jersey,1980,-0.5727304107105075
New Jersey,1990,-2.299566609415998
New Jersey,2000,-0.5463684570143417
New Jersey,2010,-2.2553598535446975
New Jersey,2020,0.5513222655131526
New Jersey,1960,5.514039781060131
Michigan,1970,-3.4059211538463066
Michigan,1980,-2.676843614230894
Michigan,1990,0.24614296331710547
Michigan,1960,1.5333047743236805
Michigan,2000,-1.2849260097308708
Michigan,1950,1.234202407829936
Michigan,2010,-1.4770372505930014
Michigan,2020,0.3343008553661342
Michigan,1940,0.03859299062950923
Oklahoma,2010,-1.0443029723826933
Oklahoma,2020,4.443282496641789
Oklahoma,1980,-3.9366520356519894
Oklahoma,1990,-0.8539543509153279
Oklahoma,2000,-2.1381936979484166
Oklahoma,1970,-0.17389303235789413
Montana,1990,0.9427469297222211
Montana,2000,1.088728956210341
Montana,2010,-0.5990757055001293
Montana,2020,0.30392853705766504
Montana,1980,1.1544156911950216
Montana,1960,-3.0504320337197086
Montana,1970,2.168451755476699
Idaho,2010,2.675367429408795
Idaho,2020,0.9465450234563502
Idaho,1990,-31.006343841974594
Idaho,2000,2.4383282123206484
Idaho,1980,0.5047100143033616
Arkansas,2000,-19.46075610339318
Arkansas,2010,-9.423911251290715
Arkansas,2020,-1.4110958105696936
Arkansas,1980,1.030673958812576
Arkansas,1990,2.4763866124203684
Arkansas,1970,5.713152370262254
Arkansas,1950,19.47356532356531
Arkansas,1960,12.528240740740785
Illinois,2010,-2.0216897230233006
Illinois,2020,1.1745980544293708
Illinois,2000,-0.04101076914415521
Illinois,1990,-13.43868045834925
Illinois,1980,0.6214083180239527
Nevada,1990,-0.1731240563233412
Nevada,2000,-4.327493395387572
Nevada,2010,-0.5365872543736895
Nevada,1980,-1.6799590649034624
Nevada,2020,-1.2137429254718306
Nevada,1970,-14.261017925584161
New Mexico,2020,-0.23213267439421367
New Mexico,1990,0.30851377192917373
New Mexico,2000,-0.4240741054626189
New Mexico,2010,-2.3961799314823553
New Mexico,1980,-0.7961980128008118
New Mexico,1970,-0.035890688523057435
Virginia,2010,-3.127094288637635
Virginia,2020,0.4694673667819244
Virginia,2000,1.1653526584823235
Virginia,1980,1.4879211194853315
Virginia,1990,0.698532723612877
Virginia,1970,-1.3887068987686821
Washington,2010,-0.774923096762258
Washington,2020,0.635715782831293
Washington,2000,-1.0843017255752847
North Dakota,1970,0.21571503838947828
North Dakota,1980,2.2271664290583435
North Dakota,1990,-3.854843831749956
North Dakota,2000,0.7902892005488695
North Dakota,2010,-1.4180330618897328
North Dakota,2020,1.0067792741043602
North Dakota,1960,0.6317822053939359
North Dakota,1930,3.7499999999999964
North Dakota,1940,15.329994863893166
North Dakota,1950,9.08282950967161
Minnesota,2010,-0.11036373609192361
Minnesota,2020,-0.009553085359105026
Minnesota,2000,0.03310748602267465
Minnesota,1990,-1.8053996887897137
Minnesota,1980,4.4540955153910735
Kentucky,2010,0.3810510784076555
Kentucky,1990,-1.6621783995913493
Kentucky,2020,1.4986460370195045
Kentucky,1980,-0.24749459851673716
Kentucky,2000,-1.3534786988232534
Kentucky,1970,-2.982657947168583
Kentucky,1960,-1.183008537236751
Ohio,1990,1.8373417605677311
Ohio,2000,-3.6477568471536617
Ohio,2010,-2.3203901712743984
Ohio,2020,1.0143154604754783
Ohio,1970,-2.3517229839868348
Ohio,1980,36.67519112651254
Ohio,1960,-0.3355462902058784
Ohio,1950,1.0115355484519792
Ohio,1940,2.657357549955378
Ohio,1930,-2.781413078790548
Wisconsin,2010,-3.6764069352947004
Wisconsin,2020,0.8796388936656898
Wisconsin,1980,-1.9662555442943168
Wisconsin,1990,-2.0132006120677404
Wisconsin,2000,-0.0512444616268958
Wisconsin,1960,-0.578162969980821
Wisconsin,1970,-2.9743000985561623
Wisconsin,1950,10.009028759410903
Wisconsin,1940,1.0371164870442442
Puerto Rico,1980,-0.48920740957867637
Puerto Rico,1990,-0.5749859469826905
Puerto Rico,2000,0.11839923352277341
Puerto Rico,2010,2.8693478238954837
Puerto Rico,2020,-37.864372992369304
South Carolina,1960,11.048795456282864
South Carolina,1970,2.940071296077428
South Carolina,1990,1.509826667825446
South Carolina,2000,-0.14690624421253265
South Carolina,2010,-0.056871830236192834
South Carolina,2020,1.6572852484229812
South Carolina,1980,4.530257927026316
South Carolina,1950,1.5887847222222231
South Carolina,1940,-3.4950000000000045
Maryland,2000,1.9596720439726492
Maryland,2010,-0.9279714539665992
Maryland,1990,3.9421218664109245
Maryland,2020,-0.25621389684717766
Maryland,1980,-0.7303946834625534
Maryland,1970,-3.1501786763870996
Indiana,2010,-0.5963646451852268
Indiana,2020,1.294900563758221
Indiana,1980,-0.3535636189338367
Indiana,1990,2.2962121370350608
Indiana,2000,-1.7568868804142865
Indiana,1970,-0.17054178315161708
Indiana,1960,-2.3569736394557825
Texas,1990,0.8559262192633994
Texas,2000,-0.6303081654900685
Texas,2010,1.5763893616240632
Texas,2020,8.871961333524075
Texas,1980,6.733529234257809
Maine,1980,0.004034102892877602
Maine,1990,0.1920348655435987
Maine,2000,-1.4716141916180507
Maine,1970,-1.138088924077264
Maine,2010,0.03894745237997398
Maine,2020,-0.4433381563311441
North Carolina,2000,0.5893483552422969
North Carolina,2010,-1.8190791913315671
North Carolina,1980,-0.6341497994411297
North Carolina,1990,-0.32245353822168205
North Carolina,2020,0.9555395016065011
North Carolina,1970,-0.38938046395512893
North Carolina,1950,-0.6954326484018267
North Carolina,1960,-1.243381166254959
North Carolina,1940,-1.2244017219041226
Missouri,2020,2.4357653246659585
Missouri,2010,3.608240922878068
Missouri,1990,-1.7745209378646625
Missouri,2000,-2.256498155449015
Missouri,1970,5.702273446038671
Missouri,1980,3.01931136981631
Missouri,1960,3.2282300764398713
Delaware,2010,-0.6506781809836844
Delaware,2020,-0.8122013060577631
Delaware,2000,0.7972948175035288
Colorado,1980,-0.5810811988224578
Colorado,2010,2.090059923401125
Colorado,1990,0.1519015205201851
Colorado,2020,-0.1644119255795108
Colorado,2000,0.2909656762270036
Alaska,1990,-0.2036803652968023
Alaska,2000,-0.10144321398585825
Alaska,2010,-1.0841182597404748
Alaska,2020,-0.6032993902293958
Alaska,1980,3.980559121722955
Tennessee,2000,-1.7153147847991312
Tennessee,2010,-2.3918310664851967
Tennessee,2020,1.7793486156001397
Tennessee,1970,0.12645411404271045
Tennessee,1980,1.9312778794906527
Tennessee,1990,-0.4428562949753736
New York,1970,-0.2708080174971336
New York,1980,-0.3281309082028247
New York,1990,0.4323357987834941
New York,2000,-0.32305063444148974
New York,2010,-0.40828475180602675
New York,2020,-0.37620469399659356
Massachusetts,2010,-0.7631784863246923
Massachusetts,2020,-0.07309617963571502
Massachusetts,2000,-1.5781252656998828
Massachusetts,1980,-1.0621982605552795
Massachusetts,1990,1.6685198437535993
New Hampshire,2010,-0.7097243364985705
New Hampshire,1990,0.14205151876116728
New Hampshire,2000,-0.943432741706426
New Hampshire,2020,-0.8221947683255753
Rhode Island,2010,-0.4616153977760805
Rhode Island,2020,-1.030162313544611
Rhode Island,1980,-2.016206022249083
Rhode Island,1990,0.4254907645470569
Rhode Island,2000,-1.0607643848923216
Vermont,2010,-1.3781694912537343
Vermont,2020,-0.41687938598478214
District of Columbia,2000,1.1811152725759442
District of Columbia,2010,-11.63895169578624
District of Columbia,2020,-1.4601713188598424
Alabama,1950,-4.644748576850098
Alabama,1960,-0.36208184463780846
Alabama,1970,-1.427371067809462
Alabama,1980,0.324446162062634
Alabama,1990,0.4777540202501509
Alabama,2000,-6.086569739472541
Alabama,2010,-2.005751612343274
Alabama,2020,0.5382008928079917
