station_nm,dec_lat_va,dec_long_va,depth_2013,depth_2023,depth_change
 (A- 6- 2)18bad- 1,41.2622222,-111.7702778,23.839073033707862,18.00386301369863,-5.835210020009232
 (A-10- 1) 3bdd- 1,41.63457199,-111.8236367,63.261403508771934,62.48079889807162,-0.7806046107003155
 (B- 6- 2)26ada- 1,41.22994457,-112.0274419,20.96627397260274,31.058246575342466,10.091972602739727
 (B-11- 3)10abb- 4,41.70992838,-112.1707858,23.38594520547945,23.509220055710305,0.12327485023085316
 (B-12- 9)30cda- 1,41.73631168,-112.9110939,26.258904494382023,26.97082191780822,0.7119174234261969
 (B-14- 9) 9add- 1,41.96010556,-112.8634444,177.30062130177515,179.697183908046,2.396562606270834
 (C- 2- 1) 9ccc- 1,40.65439144,-111.9671599,57.53079452054795,58.15654794520548,0.6257534246575318
 (C- 6- 2)14aba- 1,40.30494989,-112.0299383,106.59279452054795,106.83172602739728,0.23893150684932607
 (C- 7- 8)10cbd- 1,40.21994218,-112.7405206,76.96602739726028,74.66983561643836,-2.296191780821914
 (C-15- 7)23bac- 1,39.50550678,-112.6068946,12.71774373259053,21.63046575342466,8.91272202083413
 (C-23- 6)18ddd- 1,38.80663305,-112.5613314,72.15649315068492,84.27791780821917,12.121424657534249
 (C-28-10)29add- 1,38.34607857,-112.9916215,95.5675,97.20049315068492,1.632993150684925
 (C-34- 8) 5bca- 1,37.8780303,-112.7896655,49.07812698412699,45.34350684931507,-3.7346201348119195
 (C-36-16)29daa- 1,37.6263635,-113.6613536,225.94742971887555,256.39520547945204,30.44777576057649
 (C-42- 6)32cba- 2,37.1138738,-112.5535386,70.77676712328767,67.06635616438356,-3.710410958904106
 (D- 5- 1) 8dcc- 1,40.3929782,-111.8578775,32.309780821917805,38.84324637681159,6.533465554893787
 (D-33-24)30dab- 1,37.87860509,-109.3209496,164.0752328767123,164.67728767123288,0.6020547945205692
 (D-34-26) 4dad- 1,37.84721398,-109.0639988,33.183875,37.932057971014494,4.748182971014494
 (D-36-22)22daa- 1,37.6416641,-109.4762326,60.37501369863014,64.15167123287671,3.776657534246567
 Bar-0136,38.98069444,-79.9439444,43.13791780821918,42.79068493150685,-0.34723287671232583
 Ber-0445,39.4567222,-77.9725278,43.10646575342466,52.66342465753425,9.556958904109592
 Ber-0840,39.32219444,-78.0560556,28.72580821917808,30.536164383561644,1.8103561643835633
 Brk-0066,40.2047222,-80.6077778,39.177369863013695,38.373123287671234,-0.8042465753424608
" CT-D    117 DURHAM, CT",41.47270556,-72.6839083,11.39076923076923,10.404027397260274,-0.9867418335089564
" CT-MS    44 MANSFIELD, CT",41.7950222,-72.2286361,2.385745856353591,2.48613698630137,0.10039112994777888
" CT-SB    42 SOUTHBURY, CT",41.48787368,-73.2042801,14.58691823899371,13.139205479452055,-1.4477127595416555
 CT-SC    22 SCOTLAND,41.71101667,-72.0591667,11.987759562841532,10.675164835164836,-1.3125947276766965
 EB- 917,30.43741316,-91.1417728,153.40880681818183,161.68213815789474,8.273331339712911
 Har-0165,39.1715,-80.4120833,42.91276056338028,42.32129120879121,-0.5914693545890728
 Hrd-0301,39.0591833,-78.6187806,15.06654794520548,15.90917808219178,0.8426301369862994
 Jef-0797,39.46591667,-77.8360833,46.26049562682216,47.72994520547945,1.46944957865729
 Mcd-0204,37.3895083,-81.40408889,21.660602739726027,22.69150684931507,1.0309041095890414
 Min-0173,39.36663889,-78.8888611,24.352273972602735,24.84038356164384,0.48810958904110535
 Poc-0256,38.11484119,-80.26451729,69.1297808219178,69.31693150684931,0.18715068493150966
 Rit-0116,39.21902778,-81.1116667,26.883561643835616,26.32065753424658,-0.5629041095890379
 Way-0144,38.36794444,-82.5124722,34.48488571428571,35.17320547945205,0.6883197651663409
 Web-0167,38.3356671,-80.4909181,24.881666666666664,24.393041095890407,-0.48862557077625723
 Wyo-0148,37.64416667,-81.4311111,25.752657534246573,26.73786301369863,0.9852054794520555
001N005W35B002S,34.1345111,-117.3726806,324.58904255319146,346.7945633802817,22.205520827090254
001N07E03CBAA2 Sioux Park Madison,44.0742222,-103.2680556,-79.71078260869565,-113.10133903133904,-33.390556422643385
001N07E08DDCD Chapel Lane 1 Minnelusa,44.05344444,-103.2948889,27.45294314381271,21.401671232876712,-6.0512719109359985
001N07E21DBBD Wildwood North Minnelusa,44.03026577,-103.2807385,247.4075975975976,235.89989041095893,-11.507707186638669
001S004W11K006S,34.09851944,-117.27,132.42639423076923,191.58265753424655,59.15626330347732
001S004W20H004S,34.0705611,-117.3178,123.37278551532034,134.8970684931507,11.524282977830353
001S004W22D004S,34.0774111,-117.29515,98.00447513812156,157.37772602739727,59.37325088927571
002N007E02C001S,34.2941669,-116.224454,201.5635294117647,145.3488493150685,-56.21468009669621
002N07E32ABBC2 City Quarry Madison,44.09544444,-103.3014444,41.237310924369744,21.823205479452056,-19.414105444917688
002N07E32ABBD City Quarry Minnelusa,44.09544444,-103.3014444,42.46118131868132,25.576082191780824,-16.885099126900496
002S002W04L002S,34.02497778,-117.0970917,322.8138311688312,288.6865384615384,-34.12729270729278
004N06E19AABA3 Tilford Middle Minnekahta,44.2999722,-103.43675,23.64476712328767,25.891972602739724,2.2472054794520524
006S022E09P001S,33.66108687,-114.6883017,146.49142465753425,144.65569696969698,-1.8357276878372772
007N023E01K001S,34.7241957,-114.5259207,94.28362903225806,93.79134426229508,-0.49228476996297843
007S020E28C001S,33.53725089,-114.8991372,235.381698630137,235.16077348066295,-0.22092514947405562
008S002W19A006S,33.47213056,-117.1185722,23.71027397260274,9.375123287671231,-14.335150684931508
01.00S/01.00E-24ADB01,45.47263889,-122.6233333,95.60142465753424,97.3417808219178,1.740356164383556
01.00S/02.00E-14ABC01,45.48646389,-122.5260889,42.12271232876713,41.617561643835614,-0.5051506849315146
011C0029  BOLIVAR,33.9881111,-90.9261667,22.827005494505496,21.475068493150683,-1.3519370013548127
012S001W30J004S,33.09875,-117.0171389,14.942395833333334,7.1771681415929205,-7.765227691740414
013N003E04B003S,35.25526389,-116.6679833,73.4694794520548,70.93016528925621,-2.53931416279859
013N003E04C003S,35.253575,-116.6710194,85.99657534246575,83.78567123287671,-2.2109041095890376
013N003E23F001S,35.20719927,-116.635307,57.91682191780822,71.41419178082192,13.497369863013702
013N003E26K002S,35.1907083,-116.6317528,102.14597260273972,101.37454545454544,-0.7714271481942774
013N003E26K003S,35.1907083,-116.6317528,117.99956140350876,101.8711780821918,-16.12838332131696
013N003E26K004S,35.1907083,-116.6317528,108.68523287671232,101.52016438356164,-7.1650684931506845
013N003E35J001S,35.17194444,-116.6263889,147.78386301369864,153.60229281767957,5.8184298039809335
013N003E35J002S,35.17194444,-116.6263889,148.5189315068493,154.34493150684932,5.826000000000022
013N003E35J003S,35.17194444,-116.6263889,152.57520547945205,158.65,6.074794520547954
014N003E24Q003S,35.28821667,-116.6112139,203.14989041095893,199.4481043956044,-3.7017860153545428
014S013E11D006M,36.73263889,-120.5315278,339.2477260273973,399.5054347826087,60.25770875521141
016S020E23G001S,32.7569218,-114.8359526,89.69413043478261,112.95083333333332,23.256702898550714
016S020E27B001S,32.73606147,-114.8946222,75.96753424657534,99.18666666666668,23.21913242009134
016S020E51F001S,32.74732214,-114.8640457,47.43809230769231,87.97454794520547,40.536455637513164
016S020E58J001S,32.71347869,-114.8348635,67.93372602739727,89.23636363636363,21.302637608966364
016S021E30E001S,32.7392611,-114.806701,104.13761643835618,123.73916666666666,19.601550228310487
016S021E31P003S,32.717659,-114.8017674,82.24632876712329,98.89090909090908,16.64458032378579
016S021E33E001S,32.72350874,-114.7703241,84.04676712328767,94.46083333333333,10.414066210045661
017S020E04D001S,32.7072958,-114.9311211,74.47296428571428,98.38454545454546,23.911581168831177
018S002W22E003S,32.59100556,-117.083475,44.51758904109589,79.49711538461538,34.979526343519495
019S002W02C010S,32.55364444,-117.0616028,16.825966386554622,13.38110447761194,-3.4448619089426824
01N-06E-04 CAD 1  Fittstown GW well,34.5826,-96.6794548,119.22691588785044,113.3115890410959,-5.915326846754539
01N-12E-35 BDD 1        Texhoma GW Well,36.50921168,-101.7357262,231.94326027397256,244.10065753424655,12.157397260273996
01S-03E-01 BBB 1 CNRA GW WELL 1,34.5062,-96.9498,33.538593750000004,31.64246575342466,-1.8961279965753448
01S-04E-25 ADD Johnston 25,34.44260279,-96.829181,65.60548209366391,70.77005617977528,5.164574086111372
01S-05E-31 CBD JOHNSTON 31,34.42426988,-96.8261253,30.7716,31.21564383561644,0.4440438356164407
01S26W29DCC1 Oden Forest,34.62398896,-93.8051979,40.76139726027397,38.98553424657534,-1.7758630136986255
02 040-05.38X15.27 [BMOB-4],36.52805329,-110.59903,216.77065753424657,216.7956043956044,0.024946861357847183
02N 31E 35DCC1               USGS 1,43.44993056,-112.7865306,594.4078453038674,596.7889041095891,2.38105880572175
02N06W22BCC1 near Hazen,34.7813333,-91.6409444,114.5977808219178,113.74391780821918,-0.8538630136986143
