,station_nm,dec_lat_va,dec_long_va,depth_2013,depth_2023,depth_change,state
125,05N 30E 07CAC1 USGS 138,43.770725,-112.927236,190.66090361445785,257.38857534246574,66.72767172800789,ID
68,014S013E11D006M,36.73263889,-120.5315278,339.2477260273973,399.5054347826087,60.25770875521141,CA
42,001S004W11K006S,34.09851944,-117.27,132.42639423076923,191.58265753424652,59.15626330347732,CA
763,D-06-26 09CDA [LBF-3],32.9224722,-109.6917972,441.4765564738292,496.7187048192771,55.2421483454479,AZ
764,D-06-26 16BCC [LBF-4],32.9136472,-109.6986944,298.62482093663914,342.22153424657535,43.596713309936206,AZ
71,016S020E51F001S,32.74732214,-114.8640457,47.43809230769231,87.97454794520547,40.53645563751317,CA
912,LJ-65-12-726 (Addicks Extensometer),29.79069444,-95.5861389,340.0133333333333,376.32273972602735,36.30940639269403,TX
77,018S002W22E003S,32.59100556,-117.083475,44.51758904109589,79.49711538461538,34.979526343519495,CA
910,LJ-65-07-905 (Lake Houston Piezometer No. 2),29.91388889,-95.145,55.84941988950277,89.63283707865169,33.78341718914892,TX
1130,Mt. Vernon Ozark Aquifer,37.0942222,-93.8278333,163.48965217391304,196.5662640449438,33.076611871030764,MO
1220,Silver Dollar City,36.66816667,-93.3339167,300.0414166666667,331.50150997151,31.46009330484333,MO
262,12L020,31.59325145,-84.1749128,115.58698113207548,146.16341597796142,30.57643484588594,GA
13,(C-36-16)29daa- 1,37.6263635,-113.6613536,225.94742971887555,256.39520547945204,30.44777576057649,UT
731,CHN- 14,32.7915653,-79.9284212,38.654219178082194,66.02194756554307,27.36772838746088,SC
941,Lamar,37.4998333,-94.2694444,294.7427397260274,321.03846575342465,26.295726027397222,MO
825,"FLORIDA 7 WELL, FLORIDA, PR",18.35767184,-66.5739226,112.58013774104684,138.64422222222225,26.064084481175414,Florida
890,Joplin,37.03938889,-94.5334722,59.672265193370166,85.31917808219178,25.646912888821618,MO
263,12L021,31.59380699,-84.174635,107.67865013774104,132.5881896551724,24.90953951743137,GA
1234,TD-69-38-601 (Seco Creek Well),29.43856519,-99.2833738,224.0373958333333,248.6308516483517,24.593455815018388,TX
