,station_nm,dec_lat_va,dec_long_va
0,"FAIRPLAINS 2 WELL, ST. CROIX, USVI",17.7049748,-64.7884789
7510,"WP 14 WELL, ST. CROIX, USVI",17.70830803,-64.7965345
8046,"WP 21A WELL, ST. CROIX, USVI",17.7110857,-64.7987567
9020,"WP 2 WELL, ST. CROIX, USVI",17.71553,-64.8026456
9996,"ADVENTURE 28 WELL, ST. CROIX, USVI",17.71553003,-64.8118124
24282,"WP 3 WELL, ST. CROIX, USVI",17.71691885,-64.8073679
25257,"WP 17 WELL, ST. CROIX, USVI",17.71914097,-64.80181228
30325,"WP 23A WELL, ST. CROIX, USVI",17.71997409,-64.7618116
31299,"PIEZOMETER ERMITANO CENTRAL, SALINAS, PR",17.95024496,-66.27433468
31476,"PIEZOMETER JBNERR EAST 1 SALINAS, PR",17.9510227,-66.24286198
36901,"PIEZOMETER JBNERR EAST 2 SALINAS, PR",17.95101992,-66.2428703
38860,"PHILPET 13 WELL, GUAYAMA, PR",17.95357843,-66.1501662
42682,"PIEZOMETER JBNERR WEST 1 SALINAS, PR",17.95391145,-66.25341769
46636,"PIEZOMETER JBNERR WEST 2 SALINAS, PR",17.9539059,-66.2534121
47173,"BARRANCA DUG WELL, GUAYAMA, PR",17.9558006,-66.1223877
49209,"ALOMAR OESTE WELL, SANTA ISABEL, PR",17.95780016,-66.39216119
61308,"PIEZOMETER C RASA, SALINAS, PR",17.9577446,-66.2546122
67679,"JOBOS WELL, GUAYAMA, PR",17.9685777,-66.17238879
69717,"ALOMAR 1 WELL, SANTA ISABEL, PR",17.97274395,-66.38905838
84700,"PIEZOMETER A RASA, SALINAS, PR",17.98829883,-66.24783428
89826,"JOBITOS BTR WELL, SANTA ISABEL, PR",17.97652144,-66.4116977
95439,"PIEZOMETER RASA G SALINAS, PR",17.97804929,-66.2849459
100924,"FID 2 WELL, ARROYO, PR",17.97996658,-66.04155309
103032,"ALGARROBOS DOMESTIC WELL, GUAYAMA, PR",17.97996639,-66.08433159
105078,"JUA 5 WELL, GUAYAMA, PR",17.98079943,-66.16683318
120880,"CMOR WELL, ARROYO, PR",17.98218869,-66.0443309
121567,"PIEZOMETER RASA D, SALINAS, PR",17.98435456,-66.26522337
131694,"CONSTANCIA 3 WELL, PONCE, PR",17.990911,-66.6131727
142085,"PIEZOMETER AGUIRRE HW 8, GUAYAMA, PR",17.9921876,-66.2035004
143350,"PASO SECO 7 WELL, SANTA ISABEL, PR",17.99302084,-66.379336
155203,"PIEZOMETER POZO HONDO HW 14, GUAYAMA, PR",17.99413216,-66.17183328
157713,"PIEZOMETER AGUIRRE HW 5B, SALINAS, PR",17.99413195,-66.2160005
171073,"PIEZOMETER AGUIRRE HW 10, SALINAS, PR",17.995243,-66.214056
172308,"RESTAURADA P8A WELL, PONCE, PR",17.99499405,-66.5943946
182473,"SANSON 4 WELL, SANTA ISABEL, PR",17.99744444,-66.39391667
182957,"PIEZOMETER POZO HONDO HW 15, GUAYAMA, PR",17.99663203,-66.1746111
183911,"PIEZOMETER AGUIRRE HW 13, SALINAS, PR",17.99718738,-66.209056
189175,"PIEZOMETER AGUIRRE HW 4, SALINAS, PR",17.99802067,-66.214056
190409,"PIEZOMETER AGUIRRE HW 3, GUAYAMA, PR",17.99829845,-66.205167
197638,"PIEZOMETER AGUIRRE HW 1, SALINAS, PR",17.99857619,-66.2223895
202902,"PIEZOMETER AGUIRRE HW 7, SALINAS, PR",17.99968728,-66.2098893
204141,"PIEZOMETER AGUIRRE HW 11, SALINAS, PR",18.00135387,-66.2148894
206346,"PIEZOMETER AGUIRRE HW 2, SALINAS, PR",18.00274269,-66.2221117
207625,"CAB 1 WELL, JUANA DIAZ, PR",18.0033813,-66.437004
217691,"PIEZOMETER FA-1, JUANA DIAZ, PR",18.01135309,-66.5057277
222310,"MER 3 WELL, GUAYANILLA, PR",18.01288173,-66.7860919
227465,"PIEZOMETER JAC-6, JUANA DIAZ, PR",18.01385325,-66.5198943
240671,"PIEZOMETER RM 10, SALINAS, PR",18.01579767,-66.25600109
245611,"ARENAS 1 WELL, GUANICA, PR",18.02032529,-66.9335098
249339,"VIV COLONIA AMISTAD WELL, LAJAS, PR",18.02385216,-67.056567
264983,"PPGIND 4 WELL, YAUCO, PR",18.02413123,-66.8415647
272676,"COLONES WELL, PONCE, PR",18.02529764,-66.5429499
273949,"ARENAS OBSERVATION WELL, SABANA GRANDE, PR",18.02588075,-66.9067597
277648,"MON WEST WELL, PONCE, PR",18.0261032,-66.5460888
277815,"PIEZOMETER JAC-1, JUANA DIAZ, PR",18.0294081,-66.5073944
278239,"LVE WELL, PENUELAS, PR",18.03024198,-66.72739677
288134,"PIEZOMETER RM 5, SALINAS, PR",18.03301922,-66.23155637
293118,"PIEZOMETER YABUCOA USGS BRACKISH, YABUCOA, PR",18.064131,-65.8432173
294923,"YABUCOA 7 WELL, YABUCOA, PR",18.06885277,-65.8604398
302613,"MONA AIRPORT WELL, MAYAGUEZ, PR",18.07690056,-67.93268639
303083,"CABO ROJO P1 WELL, CABO ROJO, PR",18.09301509,-67.1440681
313442,"PIEZOMETER CABO ROJO 10, CABO ROJO, PR",18.09440405,-67.12490139
314009,"PIEZOMETER CABO ROJO 8, CABO ROJO, PR",18.0944039,-67.1462904
314567,"PIEZOMETER CABO ROJO 5, CABO ROJO, PR",18.09718159,-67.1415681
315099,"VIEQUES A1 WELL, VIEQUES, PR",18.09824228,-65.4674921
319221,"PIEZOMETER CABO ROJO 7, CABO ROJO, PR",18.0991259,-67.1471237
319821,"VIEQUES P2B WELL, VIEQUES, PR",18.10331153,-65.4598143
323664,"PIEZOMETER CABO ROJO 1, CABO ROJO, PR",18.1055146,-67.1346237
324227,"PIEZOMETER CABO ROJO 2B, CABO ROJO, PR",18.10579239,-67.1324015
325419,"PIEZOMETER CABO ROJO 9B, CABO ROJO, PR",18.1057923,-67.1449016
327736,"PIEZOMETER CABO ROJO 3, CABO ROJO, PR",18.10995886,-67.1340682
328301,"PIEZOMETER CABO ROJO 4, CABO ROJO, PR",18.11190327,-67.1265682
328874,"RIO HUMACAO WELL, HUMACAO, PR",18.1452385,-65.8265513
329129,"SQB 3 WELL, HUMACAO, PR",18.1502386,-65.7968288
329742,"PIEZOMETER CA-1, NAGUABO, PR",18.20273623,-65.75793978
344852,"CIND 4 WELL, MAYAGUEZ, PR",18.20689896,-67.1432351
346712,"CE-RUM2 OBSERVATION WELL, MAYAGUEZ CAMPUS, PR",18.2146848,-67.138299
351119,"PIEZOMETER CAGUAS-JUNCOS 11, CAGUAS, PR",18.21773369,-66.0398875
353124,"PIEZOMETER CJ 9, CAGUAS, PR",18.22745543,-66.0371097
353407,"PIEZOMETER CAGUAS-JUNCOS 19A, CAGUAS, PR",18.229122,-66.04766549
365502,"PIEZOMETER CJ 20, CAGUAS, PR",18.24412129,-66.0257207
367505,"PIEZOMETER CJ 3B, JUNCOS, PR",18.2516213,-65.9290527
373221,"PIEZOMETER CAGUAS-JUNCOS 15, CAGUAS, PR",18.25884283,-66.02877639
375233,"PIEZOMETER CAGUAS-JUNCOS 18, GURABO, PR",18.25912074,-65.9671087
376924,"PIEZOMETER USGS RF 4, FAJARDO, PR",18.30439895,-65.6715506
380009,"VIEO 9 WELL, ST. THOMAS, USVI",18.31939897,-64.87903077
380374,"PIEZOMETER RIO FAJARDO 12 FAJARDO, PR",18.3193983,-65.6404392
385105,"WP CALABASH B. VIEO-3 WELL, ST. JOHN, USVI",18.32856584,-64.7059695
385630,"GUINEA GUT WELL, ST. JOHN, USVI",18.33023206,-64.7787492
392569,"RINCON 4 WELL, RINCON, PR",18.33605896,-67.2421251
402935,"SAN SEBASTIAN WELL, SAN SEBASTIAN, PR",18.3363388,-66.99184489
405461,"LCKH VIEO-11 WELL, ST. THOMAS, USVI",18.34106632,-64.9168108
405790,"VIEO-1 WELL, ST. THOMAS, USVI",18.34134396,-64.91403278
406664,"GRADE SCHOOL 3 WELL, ST. THOMAS, USVI",18.34189968,-64.91708857
420950,"KIRWAN VIEO 6 WELL, ST. THOMAS, USVI",18.34190075,-64.96625807
425439,"SUSANNABERG DPW 3 WELL, ST. JOHN, USVI",18.34300952,-64.7654155
428410,"WP CORAL BAY VIE0 4 WELL, ST. JOHN, USVI",18.34467629,-64.7173587
438416,"WP CORAL BAY VIEO 2 WELL, ST. JOHN, USVI",18.35078718,-64.7162476
438940,"NPS 6 WELL, ST. JOHN, USVI",18.35162037,-64.7531929
441837,"HWY 42 DEAD END VIEO 10 WELL, ST. THOMAS, USVI",18.35662098,-64.9023651
442213,"PIEZOMETER RIO PITAHAYA 4 LUQUILLO, PR",18.3566184,-65.702662
444798,"FLORIDA 7 WELL, FLORIDA, PR",18.35767184,-66.5739226
450648,"BORDEAUX SHEILA WELL, ST. THOMAS, USVI",18.3585665,-65.01612079
451186,"PIEZOMETER USGS RS 2, LUQUILLO, PR",18.35856255,-65.72127339
453129,"FLORIDA 1 WELL, FLORIDA, PR",18.36653259,-66.56795028
457107,"PIEZOMETER RIO MAMEYES 2, RIO GRANDE, PR",18.37106145,-65.76599628
458920,"MW 11 WELL, LUQUILLO, PR",18.37142305,-65.7172734
461834,"PIEZOMETER QDA. MATA DE PLATANOS 1, LUQUILLO, PR",18.3741172,-65.7329403
463696,"PIEZOMETER USGS RE 1, RIO GRANDE, PR",18.38300478,-65.8204414
464334,"GMAR WELL, VEGA BAJA, PR",18.3816159,-66.4307261
478522,"PAMPANO 2 WELL, VEGA ALTA, PR",18.3895879,-66.3155025
484762,"PIEZOMETER USGS RE 2A, RIO GRANDE, PR",18.39355985,-65.818497
486850,"PIEZOMETER JARDIN BOTANICO I-13, SAN JUAN, PR",18.3949482,-66.0568325
491699,"PIEZOMETER JARDIN BOTANICO III-19 SAN JUAN, PR",18.39967029,-66.06266588
495844,"PIEZOMETER LAS AMERICAS I-10, SAN JUAN, PR",18.40272584,-66.07377708
500574,"SALTOS 1 WELL, ISABELA, PR",18.4041411,-67.03045697
508917,"CAMPO ALEGRE 4 WELL, HATILLO, PR",18.40658666,-66.7757868
510239,"PIEZOMETER SALUD MENTAL I-5 SAN JUAN, PR",18.40772578,-66.0904439
515146,"HPAR WELL, SAN JUAN, PR",18.40800307,-66.05266578
517027,"PIEZOMETER PARQUE FUENTES I-7, SAN JUAN, PR",18.40828102,-66.0676659
519653,"BUCHANAN PARK WELL, BAYAMON, PR",18.40939232,-66.1401666
525798,"AGUADILLA CEMENT NORTH WELL, AGUADILLA, PR",18.40939049,-67.1540696
534519,"PIEZOMETER MUNOZ MARIN 1A-8, SAN JUAN, PR",18.40994763,-66.0704437
