,Unnamed: 0,station_nm,dec_lat_va,dec_long_va,state
0,0,"FAIRPLAINS 2 WELL, ST. CROIX, USVI",17.7049748,-64.7884789,St Croix
1,7510,"WP 14 WELL, ST. CROIX, USVI",17.70830803,-64.7965345,St Croix
2,8046,"WP 21A WELL, ST. CROIX, USVI",17.7110857,-64.7987567,St Croix
3,9020,"WP 2 WELL, ST. CROIX, USVI",17.71553,-64.8026456,St Croix
4,9996,"ADVENTURE 28 WELL, ST. CROIX, USVI",17.71553003,-64.8118124,St Croix
5,24282,"WP 3 WELL, ST. CROIX, USVI",17.71691885,-64.8073679,St Croix
6,25257,"WP 17 WELL, ST. CROIX, USVI",17.71914097,-64.80181228,St Croix
7,30325,"WP 23A WELL, ST. CROIX, USVI",17.71997409,-64.7618116,St Croix
8,31299,"PIEZOMETER ERMITANO CENTRAL, SALINAS, PR",17.95024496,-66.27433468,Salinas
9,31476,"PIEZOMETER JBNERR EAST 1 SALINAS, PR",17.9510227,-66.24286198,Salinas
10,36901,"PIEZOMETER JBNERR EAST 2 SALINAS, PR",17.95101992,-66.2428703,Salinas
11,38860,"PHILPET 13 WELL, GUAYAMA, PR",17.95357843,-66.1501662,Guayama
12,42682,"PIEZOMETER JBNERR WEST 1 SALINAS, PR",17.95391145,-66.25341769,Salinas
13,46636,"PIEZOMETER JBNERR WEST 2 SALINAS, PR",17.9539059,-66.2534121,Salinas
14,47173,"BARRANCA DUG WELL, GUAYAMA, PR",17.9558006,-66.1223877,Guayama
15,49209,"ALOMAR OESTE WELL, SANTA ISABEL, PR",17.95780016,-66.39216119,Santa Isabel
16,61308,"PIEZOMETER C RASA, SALINAS, PR",17.9577446,-66.2546122,Salinas
17,67679,"JOBOS WELL, GUAYAMA, PR",17.9685777,-66.17238879,Guayama
18,69717,"ALOMAR 1 WELL, SANTA ISABEL, PR",17.97274395,-66.38905838,Santa Isabel
19,84700,"PIEZOMETER A RASA, SALINAS, PR",17.98829883,-66.24783428,Salinas
20,89826,"JOBITOS BTR WELL, SANTA ISABEL, PR",17.97652144,-66.4116977,Santa Isabel
21,95439,"PIEZOMETER RASA G SALINAS, PR",17.97804929,-66.2849459,Salinas
22,100924,"FID 2 WELL, ARROYO, PR",17.97996658,-66.04155309,Arroyo
23,103032,"ALGARROBOS DOMESTIC WELL, GUAYAMA, PR",17.97996639,-66.08433159,Guayama
24,105078,"JUA 5 WELL, GUAYAMA, PR",17.98079943,-66.16683318,Guayama
25,120880,"CMOR WELL, ARROYO, PR",17.98218869,-66.0443309,Arroyo
26,121567,"PIEZOMETER RASA D, SALINAS, PR",17.98435456,-66.26522337,Salinas
27,131694,"CONSTANCIA 3 WELL, PONCE, PR",17.990911,-66.6131727,Ponce
28,142085,"PIEZOMETER AGUIRRE HW 8, GUAYAMA, PR",17.9921876,-66.2035004,Guayama
29,143350,"PASO SECO 7 WELL, SANTA ISABEL, PR",17.99302084,-66.379336,Santa Isabel
30,155203,"PIEZOMETER POZO HONDO HW 14, GUAYAMA, PR",17.99413216,-66.17183328,Guayama
31,157713,"PIEZOMETER AGUIRRE HW 5B, SALINAS, PR",17.99413195,-66.2160005,Salinas
32,171073,"PIEZOMETER AGUIRRE HW 10, SALINAS, PR",17.995243,-66.214056,Salinas
